pathway	pval	padj	foldEnrichment	overlap	size	overlapGenes
WP_ERBB_SIGNALING_PATHWAY	0.0516095466413229	0.378560790667223	5.47926036981509	2	46	Jun Nrg4
WP_HEART_DEVELOPMENT	0.0516095466413229	0.378560790667223	5.47926036981509	2	46	Bmpr1a Mef2c
REACTOME_ECM_PROTEOGLYCANS	0.053629339536051	0.385700097895671	5.36268036194669	2	47	Itgb3 Matn4
WP_SELENIUM_METABOLISM_SELENOPROTEINS	0.053629339536051	0.385700097895671	5.36268036194669	2	47	Gpx3 Jun
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_RUNX1	0.0542477475817292	0.385700097895671	18.0032840722496	1	7	Pgr
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.0542477475817292	0.385700097895671	18.0032840722496	1	7	Fap
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_UP	0.0542477475817292	0.385700097895671	18.0032840722496	1	7	Aldh1a1
TERAO_AOX4_TARGETS_HG_DN	0.0542477475817292	0.385700097895671	18.0032840722496	1	7	Egr1
BIOCARTA_ERBB4_PATHWAY	0.0542477475817292	0.385700097895671	18.0032840722496	1	7	Nrg4
BIOCARTA_PPARG_PATHWAY	0.0542477475817292	0.385700097895671	18.0032840722496	1	7	Lpl
BIOCARTA_REELIN_PATHWAY	0.0542477475817292	0.385700097895671	18.0032840722496	1	7	Vldlr
BIOCARTA_TSP1_PATHWAY	0.0542477475817292	0.385700097895671	18.0032840722496	1	7	Jun
REACTOME_FRUCTOSE_METABOLISM	0.0542477475817292	0.385700097895671	18.0032840722496	1	7	Aldh1a1
REACTOME_PHASE_1_INACTIVATION_OF_FAST_NA_CHANNELS	0.0542477475817292	0.385700097895671	18.0032840722496	1	7	Kcnip3
MILI_PSEUDOPODIA_CHEMOTAXIS_DN	0.054467820147822	0.386067882598761	2.06595063124176	7	427	Cd9 Ddr1 Ly6e Matn4 Mmp14 Prnp Zfp36
FOSTER_TOLERANT_MACROPHAGE_UP	0.054577222252271	0.386067882598761	2.81615616772619	4	179	Cd38 Gem Id2 Nupr1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.055676818831894	0.390862516042084	5.25095785440613	2	48	Gpx3 Prnp
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.055676818831894	0.390862516042084	5.25095785440613	2	48	Amotl2 Egr1
GERHOLD_ADIPOGENESIS_UP	0.055676818831894	0.390862516042084	5.25095785440613	2	48	Ghr Vldlr
REACTOME_SENSORY_PERCEPTION	0.0564049985640356	0.394977068030274	2.78503842001651	4	181	Abca4 Dhrs3 Lpl Rdh10
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN	0.0570420633134133	0.398434512591178	1.93138679702294	8	522	Alcam Asb4 Ghr Lpl Mab21l2 Maf Mmp14 Pbx3
HEVNER_TELENCEPHALON_MENINGEAL_CELLS	0.0577514237043121	0.399951389214705	5.14379544921417	2	49	Rdh10 S100a6
MCCLUNG_DELTA_FOSB_TARGETS_2WK	0.0577514237043121	0.399951389214705	5.14379544921417	2	49	Mef2c Ptprk
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.0577514237043121	0.399951389214705	5.14379544921417	2	49	Dsg2 Ocln
CUI_TCF21_TARGETS_2_UP	0.0578346972893207	0.399951389214705	2.03732313981577	7	433	Alcam Cd38 Clu Fap Lsr Prnp Tgm2
PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN	0.0585553397213968	0.403930135050827	3.40602671637154	3	111	Clca3a1 Perp Slc14a1
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	0.059012966336511	0.406079322810645	1.83232131914657	9	619	Btg2 Ddr1 Efna1 Gem Perp Prcp Procr Tbc1d8 Tgm2
CHANGOLKAR_H2AFY_TARGETS_UP	0.0598526003942062	0.409828150482495	5.04091954022989	2	50	Lpl Tmem176a
WP_ID_SIGNALING_PATHWAY	0.0598526003942062	0.409828150482495	5.04091954022989	2	50	Id2 Kdr
WP_FOCAL_ADHESION	0.0601585295693071	0.410713376296925	2.72482137309724	4	185	Itgb3 Jun Pdgfd Vwf
REACTOME_DRUG_ADME	0.0611171071373445	0.410713376296925	3.3457430576747	3	113	Abcb1a Gstm2 Sult1a1
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A	0.06152627033168	0.410713376296925	1.650956181298	12	916	Art4 Aspa Bcl6 Cntn1 Ddr1 Dhrs3 Gipc2 Gstm7 Mef2c Myo1e Pcdhb16 Pla2g4a
CASTELLANO_HRAS_AND_NRAS_TARGETS_DN	0.0617547450691061	0.410713376296925	15.7528735632184	1	8	Fhl1
KHETCHOUMIAN_TRIM24_TARGETS_DN	0.0617547450691061	0.410713376296925	15.7528735632184	1	8	Aldh1a1
MIKKELSEN_DEDIFFERENTIATED_STATE_UP	0.0617547450691061	0.410713376296925	15.7528735632184	1	8	Dsg2
BIOCARTA_VOBESITY_PATHWAY	0.0617547450691061	0.410713376296925	15.7528735632184	1	8	Lpl
REACTOME_HYDROLYSIS_OF_LPC	0.0617547450691061	0.410713376296925	15.7528735632184	1	8	Pla2g4a
REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT	0.0617547450691061	0.410713376296925	15.7528735632184	1	8	Clu
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.0617547450691061	0.410713376296925	15.7528735632184	1	8	Kdr
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.0617547450691061	0.410713376296925	15.7528735632184	1	8	Wwtr1
WP_FATTY_ACID_OMEGAOXIDATION	0.0617547450691061	0.410713376296925	15.7528735632184	1	8	Aldh1a1
IKEDA_MIR30_TARGETS_UP	0.0637305650727937	0.422842412654813	3.28755622188906	3	115	Cpne8 Jun Maf
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_UP	0.0641324890635238	0.424495999039514	4.84703801945181	2	52	Jun Thbd
NABA_ECM_GLYCOPROTEINS	0.0680539028425499	0.443278653402226	2.61187540944554	4	193	Matn4 Mmrn1 Sbspon Vwf
NABA_SECRETED_FACTORS	0.0684811154966879	0.443278653402226	2.09456490591269	6	361	Nrg4 Ntf3 Pdgfd S100a6 Sfrp1 Tnfsf10
GROSS_HYPOXIA_VIA_HIF1A_ONLY	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Vldlr
VANLOO_SP3_TARGETS_UP	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Nupr1
BIOCARTA_AMAN_PATHWAY	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	B3galt1
BIOCARTA_EPHA4_PATHWAY	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Selp
BIOCARTA_PCAF_PATHWAY	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Jun
BIOCARTA_RECK_PATHWAY	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Mmp14
REACTOME_ETHANOL_OXIDATION	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Aldh1a1
REACTOME_GAMMA_CARBOXYLATION_OF_PROTEIN_PRECURSORS	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Pros1
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Ghr
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Ptger4
REACTOME_TRANSPORT_OF_GAMMA_CARBOXYLATED_PROTEIN_PRECURSORS_FROM_THE_ENDOPLASMIC_RETICULUM_TO_THE_GOLGI_APPARATUS	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Pros1
WP_EICOSANOID_LIPID_SYNTHESIS_MAP	0.0692024948117144	0.443278653402226	14.0025542784163	1	9	Pla2g4a
HEVNER_CORTEX_APICAL_AND_BASAL_INTERMEDIATE_PROGENITOR_CELLS	0.0707381646370918	0.452073787795667	4.58265412748171	2	55	Btg2 Ptprk
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6	0.0729875295053256	0.464900138890927	4.5008210180624	2	56	Matn4 Prcp
HALLMARK_KRAS_SIGNALING_UP	0.073247901323879	0.464900138890927	2.54591895971206	4	198	Abcb1a Gadd45g Id2 Tmem176a
HALLMARK_MTORC1_SIGNALING	0.073247901323879	0.464900138890927	2.54591895971206	4	198	Btg2 Cd9 Nupr1 Vldlr
JOHANSSON_GLIOMAGENESIS_BY_PDGFB_UP	0.0752597814404504	0.464900138890927	4.42185924581569	2	57	Cd63 Cd9
ZHENG_FOXP3_TARGETS_IN_THYMUS_UP	0.0753805960224808	0.464900138890927	2.52045977011494	4	200	Exoc6b Gpr183 Slamf1 Tox
IWANAGA_CARCINOGENESIS_BY_KRAS_DN	0.0761134564062442	0.464900138890927	3.04894327030033	3	124	Abcb1a Klrb1c Sult1a1
GAUSSMANN_MLL_AF4_FUSION_TARGETS_D_DN	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Aldh1a1
MIKKELSEN_PARTIALLY_REPROGRAMMED_TO_PLURIPOTENCY	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Perp
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Bcl6
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_DN	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Cavin2
SCHMAHL_PDGF_SIGNALING	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Myo1e
WORSCHECH_TUMOR_REJECTION_DN	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Ly6e
BIOCARTA_ACTINY_PATHWAY	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Nckap1
BIOCARTA_BTG2_PATHWAY	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Btg2
BIOCARTA_GABA_PATHWAY	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Gabra4
BIOCARTA_LECTIN_PATHWAY	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	C4b
BIOCARTA_PRION_PATHWAY	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Prnp
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Jun
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Ramp2
REACTOME_CHYLOMICRON_REMODELING	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Lpl
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Ldhd
REACTOME_REGULATION_BY_C_FLIP	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Tnfsf10
REACTOME_TGFBR3_PTM_REGULATION	0.0765914617309513	0.464900138890927	12.6022988505747	1	10	Mmp14
MCBRYAN_PUBERTAL_BREAST_4_5WK_DN	0.0775444786705669	0.467681755112061	2.49550472288608	4	202	Fhl1 Lpl Ndn Stom
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.0775544205419641	0.467681755112061	4.34562029330163	2	58	Ddr1 Itgb3
REACTOME_RHOQ_GTPASE_CYCLE	0.0775544205419641	0.467681755112061	4.34562029330163	2	58	Cpne8 Stom
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	0.0798709533194044	0.480608766727152	4.27196571205922	2	59	Muc1 Muc13
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	0.0812932255257417	0.48811051179603	1.71589545620533	9	661	Abca4 Abcb1a Lpl Slc14a1 Slc6a15 Stom Trpc1 Trpc6 Vldlr
YAMAZAKI_TCEB3_TARGETS_DN	0.0819649630918048	0.490133314698205	2.44704832049994	4	206	Dsg2 Gstm1 Mt1 S100a6
REACTOME_ARACHIDONATE_METABOLISM	0.0822088926230758	0.490133314698205	4.2007662835249	2	60	Hpgds Pla2g4a
HEVNER_SUBPLATE_PROJECTION_NEURONS	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	Chrna7
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_UP	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	Cavin2
BIOCARTA_CLASSIC_PATHWAY	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	C4b
BIOCARTA_MONOCYTE_PATHWAY	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	Selp
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	Aspa
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	Lpl
REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	Acsl4
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	Pros1
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	Chrna7
REACTOME_P2Y_RECEPTORS	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	Lpar6
REACTOME_PYRIMIDINE_CATABOLISM	0.0839221071209876	0.490133314698205	11.4566353187043	1	11	Nt5c3
SANSOM_WNT_PATHWAY_REQUIRE_MYC	0.0893463718704243	0.517458881920297	4.00072979383324	2	63	Id2 Mmp14
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_UP	0.0910090069760032	0.517458881920297	2.82141019042717	3	134	Cytip Plscr1 Sema7a
REACTOME_PROGRAMMED_CELL_DEATH	0.0910090069760032	0.517458881920297	2.82141019042717	3	134	Dsg2 Ocln Tnfsf10
PARK_OSTEOBLAST_DIFFERENTIATION_BY_PHENYLAMIL_UP	0.0911948886769007	0.517458881920297	10.5019157088123	1	12	Cyp26b1
BIOCARTA_D4GDI_PATHWAY	0.0911948886769007	0.517458881920297	10.5019157088123	1	12	Jun
BIOCARTA_UCALPAIN_PATHWAY	0.0911948886769007	0.517458881920297	10.5019157088123	1	12	Itgb3
REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING	0.0911948886769007	0.517458881920297	10.5019157088123	1	12	Vwf
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.0911948886769007	0.517458881920297	10.5019157088123	1	12	Ghr
REACTOME_PECAM1_INTERACTIONS	0.0911948886769007	0.517458881920297	10.5019157088123	1	12	Itgb3
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.0911948886769007	0.517458881920297	10.5019157088123	1	12	Vwf
REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION	0.0911948886769007	0.517458881920297	10.5019157088123	1	12	Kdr
WP_NUCLEOTIDE_GPCRS	0.0911948886769007	0.517458881920297	10.5019157088123	1	12	Lpar6
WP_SEROTONIN_AND_ANXIETYRELATED_EVENTS	0.0911948886769007	0.517458881920297	10.5019157088123	1	12	Plek
BURTON_ADIPOGENESIS_PEAK_AT_0HR	0.0917651902110454	0.517458881920297	3.9382183908046	2	64	Lpl Runx1t1
INGRAM_SHH_TARGETS_DN	0.0917651902110454	0.517458881920297	3.9382183908046	2	64	Clu Sfrp1
REACTOME_EPH_EPHRIN_SIGNALING	0.0917651902110454	0.517458881920297	3.9382183908046	2	64	Arhgef28 Efna1
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	0.0917651902110454	0.517458881920297	3.9382183908046	2	64	Lpl Vldlr
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_UP	0.0925610289532306	0.520890000991865	2.80051085568327	3	135	Plscr2 Tgm2 Zg16
WP_P53_SIGNALING	0.0966595669073698	0.542855749499976	3.81887843956809	2	66	Gadd45g Perp
GERHOLD_RESPONSE_TO_TZD_DN	0.0984102605225944	0.54357625179746	9.69407603890362	1	13	Ghr
HEVNER_CORTEX_QUIESCENCE	0.0984102605225944	0.54357625179746	9.69407603890362	1	13	Btg2
MCBRYAN_TERMINAL_END_BUD_UP	0.0984102605225944	0.54357625179746	9.69407603890362	1	13	Sfrp1
BIOCARTA_CDK5_PATHWAY	0.0984102605225944	0.54357625179746	9.69407603890362	1	13	Egr1
BIOCARTA_EXTRINSIC_PATHWAY	0.0984102605225944	0.54357625179746	9.69407603890362	1	13	Pros1
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	0.0984102605225944	0.54357625179746	9.69407603890362	1	13	Trpc6
REACTOME_HEME_SIGNALING	0.0984102605225944	0.54357625179746	9.69407603890362	1	13	Clec1b
WP_PTF1A_RELATED_REGULATORY_PATHWAY	0.0984102605225944	0.54357625179746	9.69407603890362	1	13	Rbpjl
ZHANG_BREAST_CANCER_PROGENITORS_DN	0.0988779199733303	0.54357625179746	2.71992061523195	3	139	Cxcl16 Sema7a Tacstd2
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP	0.0991342300939973	0.54357625179746	3.7618802539029	2	67	Mef2c Prtn3
REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI	0.0991342300939973	0.54357625179746	3.7618802539029	2	67	Itgb3 Ramp2
REACTOME_L1CAM_INTERACTIONS	0.0991342300939973	0.54357625179746	3.7618802539029	2	67	Dnm3 Itgb3
BRIDEAU_IMPRINTED_GENES	0.101626622787412	0.553737569062319	3.70655848546315	2	68	Asb4 Ndn
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_ENDOTHELIUM	0.101626622787412	0.553737569062319	3.70655848546315	2	68	Clu Serpinb6a
WP_IL5_SIGNALING_PATHWAY	0.101626622787412	0.553737569062319	3.70655848546315	2	68	Jun Pla2g4a
REACTOME_RHOA_GTPASE_CYCLE	0.102100277741817	0.553737569062319	2.68134018097334	3	141	Arhgap29 Arhgef28 Stom
BRUNO_HEMATOPOIESIS	0.104136311898557	0.553737569062319	3.6528402465434	2	69	Cd9 S100a6
LEIN_NEURON_MARKERS	0.104136311898557	0.553737569062319	3.6528402465434	2	69	Alcam Egr1
REACTOME_RHOB_GTPASE_CYCLE	0.104136311898557	0.553737569062319	3.6528402465434	2	69	Arhgef28 Stom
REACTOME_INNATE_IMMUNE_SYSTEM	0.10415566419663	0.553737569062319	1.50475210156116	12	1005	Ampd3 C4b Cd63 Clu Dnm3 Jun Lamp2 Nckap1 Prcp Prtn3 Serpinb6a Stom
MONNIER_POSTRADIATION_TUMOR_ESCAPE_UP	0.105142370503905	0.553737569062319	1.86240869712927	6	406	Clec1a Oxr1 Prcp Rhoj Slc14a1 Tsc22d1
HEVNER_CORTEX_CORTICAL_HEM	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Asb4
HEVNER_SUBVENTRICULAR_ZONE_AND_UP_PROJECTION_NEURON_FATE_COMMITTED_CELLS	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Bcl6
JARDIM_PERASSI_TRIPLE_NEGATIVE_BREAST_CANCER_MOUSE_XENOGRAFT_MELATONIN_DN	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Dsg2
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Kcnip3
ZAIDI_OSTEOBLAST_TRANSCRIPTION_FACTORS	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Jun
BIOCARTA_GATA3_PATHWAY	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Maf
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Chrna7
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Sema7a
REACTOME_PURINE_SALVAGE	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Ampd3
REACTOME_SYNDECAN_INTERACTIONS	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Itgb3
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Hpgds
WP_OMEGA9_FATTY_ACID_SYNTHESIS	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Acsl4
WP_OSTEOCLAST_SIGNALING	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Itgb3
WP_TRANSCRIPTIONAL_ACTIVATION_BY_NFE2L2_IN_RESPONSE_TO_PHYTOCHEMICALS	0.1055686732385	0.553737569062319	9.00164203612479	1	14	Maf
REACTOME_RHOC_GTPASE_CYCLE	0.106662870023078	0.558423311985227	3.60065681444992	2	70	Arhgef28 Stom
REACTOME_GPCR_LIGAND_BINDING	0.107892621649303	0.563799789821548	1.84874799763932	6	409	Cxcl16 Cysltr2 Gpr183 Lpar6 Ptger4 Ramp2
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.108817622455538	0.567566586165845	1.84423885618167	6	410	Itgb3 Kdr Nckap1 Ntf3 Pdgfd Ptprk
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	0.109205875379246	0.568524969202819	3.54994333819006	2	71	Prcp Serpinb6a
LIN_NPAS4_TARGETS_DN	0.111764911746507	0.574723294333217	3.50063856960409	2	72	Egr1 Gadd45g
WP_DRAVET_SYNDROME_SCN1AA1783V_POINT_MUTATION_MODEL	0.111764911746507	0.574723294333217	3.50063856960409	2	72	Gabra4 Kdr
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0.111846784253049	0.574723294333217	1.9691091954023	5	320	Cxcl16 Cysltr2 Gpr183 Lpar6 Ptger4
HEVNER_TELENCEPHALON_VASCULAR_ENDOTHELIUM_AND_MENINGEAL_CELLS	0.112670573889066	0.574723294333217	8.40153256704981	1	15	Ramp2
VANDESLUIS_COMMD1_TARGETS_GROUP_2_UP	0.112670573889066	0.574723294333217	8.40153256704981	1	15	Mt1
BIOCARTA_CDMAC_PATHWAY	0.112670573889066	0.574723294333217	8.40153256704981	1	15	Jun
BIOCARTA_LONGEVITY_PATHWAY	0.112670573889066	0.574723294333217	8.40153256704981	1	15	Ghr
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS	0.112670573889066	0.574723294333217	8.40153256704981	1	15	B3galt1
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	0.112670573889066	0.574723294333217	8.40153256704981	1	15	Tnfsf10
REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE	0.112670573889066	0.574723294333217	8.40153256704981	1	15	Prnp
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.112670573889066	0.574723294333217	8.40153256704981	1	15	Lpar6
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_WITH_H4K20ME1_MARK	0.113700505846331	0.578914663466667	2.55452003727866	3	148	Lpl Prnp Stom
LIM_MAMMARY_STEM_CELL_DN	0.114453551008971	0.581683495073013	1.81763925729443	6	416	Lsr Muc1 Rorc Tbc1d8 Tgm2 Zfp334
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.116929440073467	0.592101718404804	3.40602671637154	2	74	Itgb3 Wwtr1
WP_ALZHEIMERS_DISEASE	0.116929440073467	0.592101718404804	3.40602671637154	2	74	Casp12 Lpl
MARKEY_RB1_ACUTE_LOF_UP	0.11886890543341	0.597507376694967	2.13598285602961	4	236	Perp Ptger4 Tsc22d1 Wwtr1
LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_QTL	0.119716406050035	0.597507376694967	7.8764367816092	1	16	S100a6
BIOCARTA_CCR5_PATHWAY	0.119716406050035	0.597507376694967	7.8764367816092	1	16	Jun
BIOCARTA_COMP_PATHWAY	0.119716406050035	0.597507376694967	7.8764367816092	1	16	C4b
REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS	0.119716406050035	0.597507376694967	7.8764367816092	1	16	Osmr
REACTOME_RHOJ_GTPASE_CYCLE	0.119716406050035	0.597507376694967	7.8764367816092	1	16	Rhoj
REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION	0.119716406050035	0.597507376694967	7.8764367816092	1	16	Vldlr
WP_MITOCHONDRIAL_LONG_CHAIN_FATTY_ACID_BETAOXIDATION	0.119716406050035	0.597507376694967	7.8764367816092	1	16	Acsl4
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	0.120451636246956	0.600099549760819	1.62873006146361	8	619	Arhgap29 Arhgef28 Cpne8 Dsg2 Muc13 Nckap1 Rhoj Stom
CASTELLANO_NRAS_TARGETS_UP	0.122153234165926	0.605322622070009	3.31639443436177	2	76	Perp Plscr2
REACTOME_PLATELET_HOMEOSTASIS	0.122153234165926	0.605322622070009	3.31639443436177	2	76	Pla2g4a Trpc6
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	0.122153234165926	0.605322622070009	3.31639443436177	2	76	Slc14a1 Slc6a15
REACTOME_SIGNALING_BY_GPCR	0.12446410973477	0.615676557051	1.61567933981727	8	624	Cxcl16 Cysltr2 Gpr183 Lpar6 Pla2g4a Ptger4 Ramp2 Trpc6
IGLESIAS_E2F_TARGETS_DN	0.126706609835508	0.61689032459319	7.4131169709263	1	17	Mt1
BIOCARTA_ETS_PATHWAY	0.126706609835508	0.61689032459319	7.4131169709263	1	17	Jun
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	0.126706609835508	0.61689032459319	7.4131169709263	1	17	Pla2g4a
REACTOME_ATORVASTATIN_ADME	0.126706609835508	0.61689032459319	7.4131169709263	1	17	Abcb1a
REACTOME_PLATELET_SENSITIZATION_BY_LDL	0.126706609835508	0.61689032459319	7.4131169709263	1	17	Pla2g4a
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN	0.126706609835508	0.61689032459319	7.4131169709263	1	17	Btg2
REACTOME_TRISTETRAPROLIN_TTP_ZFP36_BINDS_AND_DESTABILIZES_MRNA	0.126706609835508	0.61689032459319	7.4131169709263	1	17	Zfp36
WP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	0.126706609835508	0.61689032459319	7.4131169709263	1	17	C4b
WP_SEROTONIN_AND_ANXIETY	0.126706609835508	0.61689032459319	7.4131169709263	1	17	Plek
MORI_SMALL_PRE_BII_LYMPHOCYTE_UP	0.12743315833309	0.618262094530526	3.23135867963454	2	78	Btg2 Rhoj
WP_APOPTOSIS	0.12743315833309	0.618262094530526	3.23135867963454	2	78	Jun Tnfsf10
RUAN_RESPONSE_TO_TNF_DN	0.13009321211496	0.629483926089698	3.19045540520879	2	79	Dhrs3 Lpl
MARTINEZ_TP53_TARGETS_UP	0.130199013489776	0.629483926089698	1.59775579722025	8	631	Clca3a1 Dhx40 Ghr Lpl Ndrg1 Rdh10 Slc14a1 Stom
REACTOME_NEUTROPHIL_DEGRANULATION	0.131637815391233	0.631843042433608	1.65819721718088	7	532	Ampd3 Cd63 Lamp2 Prcp Prtn3 Serpinb6a Stom
